artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Nicki Minaj;Super Bass;200013;2010;126.991;hip hop, pop;0.861;11;-4.339
A$AP Rocky;F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);233786;2013;95.967;hip hop;0.693;1;-6.87
Baby Boy Da Prince;The Way I Live - Main Explicit;324906;2006;90.02;hip hop, pop;0.438;0;-7.562
Nelly Furtado;Turn Off The Light;276106;2000;180.184;hip hop, pop, latin;0.679;2;-6.26
Bruno Mars;Grenade;222091;2010;110.444;pop;0.558;2;-7.273
Dido;White Flag;240040;2003;169.951;pop;0.525;5;-6.823
Lorde;Team;193058;2013;99.961;pop, Dance/Electronic;0.578;6;-7.436
Dua Lipa;Don't Start Now;183290;2019;123.941;pop;0.793;11;-4.521
Kanye West;All Of The Lights;299613;2010;142.113;hip hop;0.803;1;-3.284
Coldplay;A Sky Full of Stars;267866;2014;124.97;rock, pop;0.675;6;-6.474
Katy Perry;California Gurls;234653;2012;125.014;pop;0.754;0;-3.729
2Pac;Until The End Of Time;266506;2001;96.976;hip hop;0.706;8;-6.665
Black Eyed Peas;My Humps;326960;2005;123.95;hip hop, pop;0.682;1;-5.924
Travis Scott;Antidote;262693;2015;131.05;hip hop, Dance/Electronic;0.526;1;-5.046
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Sisqo;Incomplete;274226;1999;119.311;hip hop, pop, R&B;0.443;1;-7.693
PSY;Gangnam Style (강남스타일);219493;2012;132.067;pop;0.937;11;-2.871
Britney Spears;Overprotected - Radio Edit;198600;2001;95.992;pop;0.894;0;-1.73
50 Cent;Outta Control - Remix;247506;2005;92.029;hip hop, pop;0.599;8;-5.996
Travis Scott;goosebumps;243836;2016;130.049;hip hop, Dance/Electronic;0.728;7;-3.37
Anastacia;Sick and Tired;212266;1999;99.848;pop;0.868;0;-4.552
Shaggy;It Wasn't Me;227600;2000;94.759;hip hop, pop;0.606;0;-4.596
DNCE;Cake By The Ocean;219146;2016;119.002;pop;0.753;4;-5.446
Chris Brown;Kiss Kiss (feat. T-Pain);250666;2007;140.043;hip hop, pop, R&B;0.658;10;-3.386
Sam Sparro;Black & Gold - Radio Edit;212360;2008;135.968;pop, Dance/Electronic;0.703;4;-5.65
Tinashe;2 On (feat. ScHoolboy Q);227000;2014;101.013;hip hop, pop, R&B, Dance/Electronic;0.595;9;-7.51
Miley Cyrus;We Can't Stop;231240;2013;80.003;pop;0.622;1;-5.794
Nicky Jam;X;172854;2019;179.968;latin;0.749;9;-5.298
Danity Kane;Damaged;244266;2008;120.01;pop, R&B;0.653;8;-5.158
Joel Adams;Please Don't Go;210580;2015;84.264;R&B;0.768;4;-4.868
Akon;Lonely;235800;2004;90.098;pop;0.532;5;-7.88
Kent Jones;Don't Mind;198236;2016;158.777;hip hop;0.771;8;-4.503
Avicii;The Nights;176658;2014;125.983;pop, Dance/Electronic;0.835;6;-5.298
Ludacris;Splash Waterfalls;290760;2003;145.894;hip hop, pop;0.846;11;-6.102
Nick Jonas;Close;234213;2016;123.996;pop;0.623;6;-5.273
T-Pain;I'm Sprung;231040;2005;99.991;hip hop, pop, R&B;0.329;0;-11.617
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Nicki Minaj;Anaconda;260240;2014;129.994;hip hop, pop;0.605;9;-6.223
Alexandra Burke;Bad Boys (feat. Flo Rida);206480;2009;140.029;pop;0.866;1;-3.684
Daya;Sit Still, Look Pretty;202221;2016;181.994;rock, pop, Dance/Electronic;0.739;2;-4.081
Jeezy;Put On;321293;2008;137.616;hip hop, pop;0.77;9;-6.091
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.558;1;-7.448
Gwen Stefani;Rich Girl;236213;2004;98.018;pop, R&B;0.754;7;-2.728
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;161240;2002;133.592;pop;0.764;7;-5.076
All Time Low;Dear Maria, Count Me In;182826;2007;181.04;rock;0.895;2;-3.126
Akon;I Wanna Love You;247066;2006;99.989;pop;0.45;0;-9.387
P!nk;Most Girls;298960;2000;97.922;pop;0.732;2;-6.046
Calvin Harris;Feel So Close - Radio Edit;206413;2012;127.937;hip hop, pop, Dance/Electronic;0.924;7;-2.842
G-Eazy;Him & I (with Halsey);268866;2017;87.908;hip hop, pop;0.731;2;-6.343
Jason Derulo;Tip Toe (feat. French Montana);187521;2017;98.062;hip hop, pop;0.709;10;-4.547
Juice WRLD;Robbery;240050;2019;159.966;hip hop;0.692;2;-5.122
Aaliyah;Rock The Boat;275026;2019;92.988;hip hop, pop, R&B;0.72;5;-5.209
Santana;Into the Night (feat. Chad Kroeger);222440;2007;127.981;rock, blues, latin;0.844;7;-4.678
Jamie Foxx;Blame It;289746;2008;176.052;hip hop, pop, R&B;0.614;7;-5.426
OneRepublic;Counting Stars;257386;2014;122.014;pop;0.705;1;-4.972
Zay Hilfigerrr;Juju on That Beat (TZ Anthem);144244;2016;160.517;set();0.887;1;-3.892
Drake;Too Good;263373;2016;117.996;hip hop, pop, R&B;0.653;7;-7.839
Skillet;Monster;178013;2009;134.992;rock, pop, metal;0.957;8;-2.336
Coldplay;Adventure of a Lifetime;263786;2015;111.995;rock, pop;0.924;7;-3.887
JAY-Z;Big Pimpin';283066;1999;138.083;hip hop;0.814;11;-6.307
Bruno Mars;Talking to the Moon;217866;2010;145.867;pop;0.59;1;-4.721
Meghan Trainor;All About That Bass;187920;2015;134.052;pop;0.887;9;-3.726
Mýa;My Love Is Like...Wo - Main Mix;209533;2003;132.817;pop, R&B;0.695;4;-6.491
Colby O'Donis;What You Got;243013;2008;119.974;hip hop, pop, R&B;0.641;1;-6.718
Metro Station;Shake It;179946;2007;150.034;pop, rock;0.955;4;-3.836
Cardi B;Bodak Yellow;223962;2017;125.022;hip hop, pop;0.723;11;-5.792
Eminem;Ass Like That;265480;2004;83.093;hip hop;0.796;2;-6.152
Kanye West;Mercy;329320;2012;139.993;hip hop;0.496;6;-9.381
K-Ci & JoJo;Crazy;262773;2019;116.097;pop, R&B;0.644;0;-4.507
The Strokes;Reptilia;219826;2003;158.009;rock;0.649;9;-5.11
Christina Aguilera;I Turn to You;273706;1999;127.177;pop;0.47;1;-8.356
Pendulum;Propane Nightmares;313346;2008;173.992;Dance/Electronic;0.966;7;-4.13
Busta Rhymes;Touch It;214960;2006;138.335;hip hop, pop;0.551;1;-6.62
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Bone Thugs-N-Harmony;I Tried;287480;2007;81.995;hip hop, pop;0.71;4;-6.142
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);252706;2008;100.851;pop, latin;0.854;10;-5.02
Anuel AA;Secreto;258800;2019;91.987;latin;0.803;11;-4.156
Bruno Mars;Locked out of Heaven;233478;2012;143.994;pop;0.698;5;-4.165
Ciara;Get Up (feat. Chamillionaire);261880;2006;128.593;pop, R&B;0.595;1;-6.887
Muse;Uprising;304840;2009;128.019;rock;0.905;2;-4.046
Adele;Set Fire to the Rain;242973;2011;107.995;pop, R&B;0.67;2;-3.882
Mike Perry;The Ocean (feat. Shy Martin);183414;2016;90.037;pop, Dance/Electronic;0.575;5;-6.478
Twenty One Pilots;Ride;214506;2015;74.989;rock;0.713;6;-5.355
Ryan Cabrera;True;204173;2004;96.938;pop;0.4;6;-10.054
Nelly;Just A Dream;237800;2010;89.917;hip hop, pop, R&B;0.752;1;-6.161
T.I.;Dead And Gone;299746;2008;135.021;hip hop, pop;0.746;0;-4.99
Mr. Probz;Waves - Robin Schulz Radio Edit;208133;2014;119.993;hip hop, Dance/Electronic;0.51;5;-9.334
Dennis Lloyd;Nevermind;156600;2017;99.977;pop;0.688;5;-8.339
Coldplay;Clocks;307879;2002;130.97;rock, pop;0.749;5;-7.215
Rihanna;Don't Stop The Music;267080;2008;122.668;hip hop, pop, R&B;0.669;6;-5.582
Kelly Clarkson;Miss Independent;214773;2003;175.943;pop, R&B;0.615;11;-6.359
Bob Sinclar;Rock This Party - Everybody Dance Now;245466;2006;128.009;pop, Dance/Electronic;0.823;5;-3.708
Zedd;The Middle;184732;2018;107.01;hip hop, pop, Dance/Electronic;0.657;7;-3.061
Kanye West;All Falls Down;223506;2004;91.03;hip hop;0.734;8;-4.832
Omarion;Post to Be (feat. Chris Brown & Jhene Aiko);226580;2014;97.448;hip hop, pop, R&B;0.676;10;-5.655
The Pussycat Dolls;I Hate This Part;218400;2008;111.572;pop, R&B;0.612;5;-4.371
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
Sigala;Easy Love;229813;2018;123.976;pop, Dance/Electronic;0.942;9;-4.208
Ludacris;Stand Up;213760;2003;99.057;hip hop, pop;0.84;6;-4.855
The Wanted;Glad You Came;197935;2011;126.885;pop, Dance/Electronic;0.851;7;-3.873
Iggy Azalea;Fancy;199938;2014;94.981;hip hop, pop;0.716;10;-4.141
David Guetta;Turn Me On (feat. Nicki Minaj);199680;2012;127.96;hip hop, pop, Dance/Electronic;0.793;8;-2.266
Post Malone;Wow.;149546;2019;99.96;hip hop;0.539;11;-7.359
Atomic Kitten;Eternal Flame - Single Version;195506;2001;83.293;pop;0.581;0;-6.867
Take That;Patience;202066;2006;175.788;pop;0.783;10;-4.154
Megan Thee Stallion;Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);199427;2019;98.985;hip hop, pop, R&B;0.814;0;-4.568
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Pretty Ricky;Your Body;240040;2005;90.038;hip hop, pop, R&B;0.594;4;-5.695
Jessica Simpson;Irresistible;194026;2001;93.013;pop, R&B;0.965;8;-2.771
Ne-Yo;Sexy Love;220853;2006;94.02;pop, R&B;0.516;8;-6.446
Kaiser Chiefs;Ruby;204200;2007;93.416;rock;0.939;5;-2.82
Clean Bandit;Rockabye (feat. Sean Paul & Anne-Marie);251088;2016;101.965;pop, Dance/Electronic;0.763;9;-4.068
Ne-Yo;Because Of You;266840;2007;109.97;pop, R&B;0.538;0;-5.784
Maroon 5;Sugar;235493;2014;120.042;pop;0.783;1;-7.077
Rihanna;Hard;250600;2009;182.032;hip hop, pop, R&B;0.746;1;-3.599
Travis;Sing;228800;2001;163.142;rock, pop;0.905;4;-5.047
Taylor Swift;22;232120;2012;103.987;pop;0.729;7;-6.561
Normani;Motivation;193837;2019;170.918;pop, R&B;0.887;4;-3.967
Lily Allen;Not Fair;201213;2009;121.491;pop;0.861;5;-6.982
Klangkarussell;Sonnentanz - Sun Don't Shine;238120;2014;119.74;pop, Dance/Electronic;0.549;5;-8.262
Lorde;Homemade Dynamite - REMIX;214254;2017;106.996;pop, Dance/Electronic;0.548;0;-4.997
Adam Lambert;Whataya Want from Me;227320;2009;185.934;pop;0.672;11;-4.706
*NSYNC;It's Gonna Be Me;191040;2000;165.09;pop;0.874;0;-4.666
The Pussycat Dolls;Buttons;225560;2005;210.851;pop, R&B;0.817;2;-4.338
Britney Spears;I'm Not a Girl, Not Yet a Woman;231066;2001;78.996;pop;0.543;3;-6.857
Duke Dumont;I Got U;285596;2014;120.837;pop, Dance/Electronic;0.761;9;-7.752
Jimmy Eat World;The Middle;165853;2001;162.152;rock, pop;0.849;2;-5.428
Outkast;The Way You Move (feat. Sleepy Brown);234000;2003;125.999;hip hop, pop;0.597;5;-4.932
Duck Sauce;Barbra Streisand - Radio Edit;196533;2010;127.965;Dance/Electronic;0.922;1;-1.966
Alicia Keys;You Don't Know My Name;366733;2003;167.078;pop, R&B;0.663;9;-8.264
Britney Spears;Toxic;198800;2003;143.04;pop;0.838;5;-3.914
Craig David;Rise & Fall (feat. Sting);287226;2002;83.373;hip hop, pop, R&B;0.589;6;-7.51
Kevin Lyttle;Turn Me On;192106;2004;106.279;hip hop;0.682;9;-6.879
Ed Sheeran;Don't;219840;2014;95.049;pop;0.608;1;-7.008
Tiësto;Red Lights;263890;2013;124.989;pop, Dance/Electronic;0.829;10;-4.783
XXXTENTACION;SAD!;166605;2018;75.023;hip hop;0.613;8;-4.88
Hilltop Hoods;1955;239280;2016;84.044;hip hop, pop;0.5;11;-7.558
Justin Timberlake;My Love (feat. T.I.);276160;2006;119.952;pop;0.68;11;-5.881
Eminem;Love The Way You Lie;263373;2010;86.989;hip hop;0.925;10;-5.034
Empire of the Sun;Walking On A Dream;198440;2008;126.975;rock, pop, Dance/Electronic;0.701;5;-5.594
Sonique;It Feels So Good;240866;2000;135.012;pop;0.677;5;-7.278
Westlife;You Raise Me Up;241066;2005;75.048;pop;0.358;10;-6.596
David Guetta;Where Them Girls At (feat. Nicki Minaj & Flo Rida);194840;2012;129.884;hip hop, pop, Dance/Electronic;0.876;3;-3.078
Jennifer Hudson;Spotlight;250106;2008;108.984;pop, R&B, easy listening;0.724;11;-3.887
David Guetta;2U (feat. Justin Bieber);194896;2017;144.937;hip hop, pop, Dance/Electronic;0.65;8;-5.827
Icona Pop;I Love It;156773;2012;125.953;pop, Dance/Electronic;0.901;1;-2.686
Swedish House Mafia;Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;206460;2010;125.03;pop, Dance/Electronic;0.929;7;-5.89
Bruno Mars;"Finesse - Remix; feat. Cardi B";217288;2017;105.115;pop;0.859;5;-4.877
Beyoncé;Crazy In Love (feat. Jay-Z);236133;2003;99.165;pop, R&B;0.77;2;-6.596
Kelly Rowland;Commander;218106;2011;124.638;hip hop, pop, R&B;0.876;11;-3.859
Kelly Clarkson;Behind These Hazel Eyes;198973;2004;90.048;pop, R&B;0.889;9;-4.682
D12;How Come;249533;2004;89.983;hip hop, pop, rock;0.858;9;-2.221
The Chainsmokers;Roses;226738;2015;100.001;pop, Dance/Electronic;0.802;4;-7.055
EO;German;170825;2018;103.019;set();0.583;8;-6.26
Modjo;Lady - Hear Me Tonight;307153;2001;126.041;Dance/Electronic;0.808;6;-5.627
One Direction;Live While We're Young;200186;2012;126.015;pop;0.837;2;-2.063
Migos;Slippery (feat. Gucci Mane);304041;2017;141.967;hip hop, pop;0.675;1;-5.661
Avril Lavigne;My Happy Ending;242413;2004;170.229;pop;0.936;2;-2.407
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;211320;2005;100.813;hip hop, pop;0.55;1;-7.558
Room 5;Make Luv;212413;2003;124.814;Dance/Electronic;0.887;1;-4.92
OneRepublic;Good Life;253306;2009;94.988;pop;0.69;6;-7.804
The Raconteurs;Steady, As She Goes;215266;2006;123.696;rock;0.578;9;-4.563
Olly Murs;Wrapped Up (feat. Travie McCoy);185640;2014;121.989;pop, Dance/Electronic;0.848;1;-4.696
Alice Deejay;Better Off Alone;214883;2000;136.953;pop;0.88;8;-6.149
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);199480;2011;117.338;pop, R&B;0.514;1;-5.599
Default;Wasting My Time;268693;2001;147.973;rock, pop, metal;0.769;2;-5.529
Kanye West;Black Skinhead;188013;2013;130.089;hip hop;0.825;1;-6.107
Brandy;Another Day in Paradise - R&B-Version;271626;2002;102.043;hip hop, pop, R&B;0.787;6;-5.176
Bobby Shmurda;Hot N*gga;194561;2014;167.879;hip hop, pop;0.51;9;-7.314
Special D.;Come With Me - Radio Edit;185133;2004;139.982;pop;0.999;7;-5.077
Sugababes;About You Now;212400;2007;82.499;pop, R&B;0.699;1;-6.065
Plies;Shawty (feat. T Pain);255413;2007;105.412;hip hop, pop, R&B;0.708;4;-5.926
Taylor Swift;Shake It Off;219200;2014;160.078;pop;0.8;7;-5.384
112;It's Over Now;264933;2001;97.988;hip hop, pop, R&B;0.71;1;-4.541
Black Eyed Peas;The Time (Dirty Bit);307640;2010;127.979;hip hop, pop;0.813;6;-7.798
3 Doors Down;When I'm Gone;260333;2002;148.095;pop, rock, metal;0.768;7;-5.611
Arctic Monkeys;Do I Wanna Know?;272394;2013;85.03;rock;0.532;5;-7.596
Amanda Perez;Angel;218760;2003;143.772;pop, R&B;0.54;0;-6.849
Justin Timberlake;Like I Love You;283626;2002;114.964;pop;0.811;6;-4.927
Lost Frequencies;Are You With Me - Radio Edit;138842;2014;121.03;pop, Dance/Electronic;0.574;5;-9.882
Destiny's Child;Independent Women, Pt. 1;221133;2001;97.954;pop, R&B;0.602;6;-3.782
Gorillaz;DARE;244999;2005;120.264;hip hop;0.891;11;-5.852
Alicia Keys;Diary (feat. Tony! Toni! Tone! & Jermaine Paul);284160;2003;127.932;pop, R&B;0.465;8;-9.711
Faithless;We Come 1 - Radio Edit;222435;2015;135.977;pop, Dance/Electronic;0.903;5;-10.587
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);177184;2016;108.034;hip hop;0.427;6;-10.028
Lewis Capaldi;Someone You Loved;182160;2019;109.891;pop;0.405;1;-5.679
Nicki Minaj;Bed Of Lies;269946;2014;86.01;hip hop, pop;0.67;11;-5.779
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773;2010;131.497;hip hop, pop;0.595;1;-6.366
Lady Gaga;The Edge Of Glory;320546;2011;127.952;pop;0.768;9;-6.477
Jennifer Lopez;Get Right;225533;2005;97.084;hip hop, pop, R&B;0.759;0;-5.096
The Chemical Brothers;Galvanize;393813;2005;104.003;Dance/Electronic;0.714;7;-3.681
Gareth Gates;Anyone of Us (Stupid Mistake);227866;2003;106.986;pop;0.72;1;-6.061
The Supermen Lovers;Starlight - Radio Edit;234400;2001;127.487;Dance/Electronic;0.679;0;-5.079
Rihanna;Pon de Replay;246960;2005;99.019;hip hop, pop, R&B;0.64;7;-8.415
Spiderbait;Black Betty - Edit;205973;2004;124.047;rock;0.865;7;-6.476
Terror Squad;Lean Back;247426;2004;95.321;hip hop;0.916;1;-3.344
Red Hot Chili Peppers;Can't Stop;269000;2002;91.455;rock;0.938;9;-3.442
September;Cry for You;209800;2007;130.018;pop, Dance/Electronic;0.881;9;-3.988
Khalid;Love Lies (with Normani);201707;2018;143.955;pop, R&B;0.648;6;-5.626
Stromae;Papaoutai;232146;2013;116.019;pop;0.818;10;-7.222
James Blunt;Goodbye My Lover;258653;2005;89.567;pop;0.261;4;-12.591
Snoop Dogg;Sensual Seduction;245520;2007;120.163;hip hop, pop;0.829;11;-3.973
Adam Lambert;Ghost Town;208330;2015;119.955;pop;0.736;4;-5.709
ScHoolboy Q;Collard Greens;299960;2014;153.972;hip hop, pop;0.571;11;-4.871
Good Charlotte;Lifestyles of the Rich & Famous;190173;2002;106.22;rock, metal;0.93;1;-3.685
David Guetta;Sexy Bitch (feat. Akon);195853;2010;130.011;hip hop, pop, Dance/Electronic;0.627;11;-5.018
The Chainsmokers;This Feeling;197946;2018;105.049;pop, Dance/Electronic;0.571;1;-7.906
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324306;2002;85.996;hip hop, pop;0.759;6;-4.315
The Corrs;Breathless;207506;2000;126.988;pop, Folk/Acoustic;0.82;11;-7.754
Fall Out Boy;This Ain't A Scene, It's An Arms Race;212040;2007;199.935;rock;0.887;9;-4.07
Nico & Vinz;Am I Wrong;245866;2014;119.968;hip hop, pop;0.675;8;-6.003
Taylor Swift;Back To December;293026;2010;141.893;pop;0.67;2;-4.663
INNA;Hot - Play & Win Radio Version;217036;2010;128.0;pop;0.939;7;-6.079
Wiz Khalifa;Work Hard, Play Hard;219026;2012;140.008;hip hop, pop;0.666;11;-4.475
Zedd;Clarity;271426;2012;128.006;hip hop, pop, Dance/Electronic;0.78;8;-3.464
Blueface;Thotiana;129264;2018;104.025;hip hop;0.382;10;-12.89
Sean Kingston;Take You There;236693;2008;115.033;hip hop, pop, R&B;0.921;5;-4.321
B2K;Bump, Bump, Bump (feat. P. Diddy);282773;2003;95.508;hip hop, pop, R&B;0.68;1;-6.02
Kylie Minogue;Can't Get You out of My Head;230640;2001;126.007;pop, Dance/Electronic;0.563;9;-7.516
Kylie Minogue;Wow;190973;2007;124.072;pop, Dance/Electronic;0.884;9;-5.466
JoJo;Leave (Get Out) - Radio Edit;242746;2005;86.891;hip hop, pop, R&B;0.513;5;-8.691
Joe;I Wanna Know;296693;2000;136.086;pop, R&B;0.487;8;-5.959
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;208386;2003;130.036;pop, Dance/Electronic;0.862;2;-3.587
The Neighbourhood;Sweater Weather;240400;2013;124.053;rock, pop;0.807;10;-2.81
Azealia Banks;212;204956;2014;126.017;hip hop, pop, R&B;0.769;11;-5.761
Matchbox Twenty;Unwell;228706;2002;80.718;pop, rock;0.788;6;-5.263
Justin Timberlake;Summer Love;252973;2006;95.802;pop;0.591;0;-7.228
Katy Perry;Unconditionally;228878;2013;129.003;pop;0.729;7;-4.813
Lil' Kim;Magic Stick;359973;2019;92.98;hip hop, pop, R&B;0.498;2;-7.872
Tyga;Faded;206666;2012;95.073;hip hop, pop;0.667;1;-8.438
Fort Minor;Remember the Name (feat. Styles of Beyond);230493;2005;84.858;hip hop, pop, rock;0.835;8;-4.162
Oasis;Go Let It Out;278666;2000;84.192;Folk/Acoustic, rock;0.849;2;-5.631
Enrique Iglesias;Tonight (I'm Fuckin' You);232213;2010;125.953;pop, latin;0.89;0;-3.982
LMFAO;Sexy And I Know It;199480;2011;130.021;hip hop, pop, Dance/Electronic;0.861;7;-4.225
DMX;Party Up;268866;1999;201.936;hip hop, pop;0.931;11;-3.302
Ying Yang Twins;Salt Shaker;252440;2003;101.965;hip hop, pop;0.697;11;-6.022
Nicky Jam;El Perdón - Forgiveness;206666;2017;90.013;latin;0.719;8;-3.839
Sigma;Nobody To Love - Radio Edit;189720;2014;175.001;pop, Dance/Electronic;0.921;8;-3.32
Ariana Grande;Side To Side;226160;2016;159.145;pop;0.738;6;-5.883
21 Savage;a lot;288624;2018;145.972;hip hop;0.636;1;-7.643
Rob Thomas;Lonely No More;226640;2005;171.79;pop, Folk/Acoustic;0.896;9;-3.152
Starley;Call on Me - Ryan Riback Remix;222040;2016;105.0;pop, Dance/Electronic;0.838;0;-4.031
Jennifer Lopez;All I Have (feat. LL Cool J);254466;2002;83.066;hip hop, pop, R&B;0.669;1;-5.265
Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];268800;2005;89.279;hip hop, pop;0.707;6;-5.758
Coldplay;Violet Hill;222653;2008;76.093;rock, pop;0.58;1;-7.875
Bruno Mars;Marry You;230192;2010;144.905;pop;0.82;10;-4.865
Pretty Ricky;Grind With Me;237733;2005;136.518;hip hop, pop, R&B;0.538;1;-5.952
Guy Sebastian;Battle Scars (feat. Lupe Fiasco);250080;2012;83.993;pop;0.863;5;-2.632
Janet Jackson;Doesn't Really Matter;265026;2001;99.316;pop, R&B;0.796;5;-3.081
DMX;X Gon' Give It To Ya;217586;2007;95.027;hip hop, pop;0.899;10;-3.09
Clean Bandit;Symphony (feat. Zara Larsson);214866;2017;122.95;pop, Dance/Electronic;0.609;0;-4.699
Jon Bellion;All Time Low;217603;2016;90.246;hip hop, pop;0.567;0;-4.188
J. Holiday;Bed;275106;2007;127.901;hip hop, pop, R&B, Dance/Electronic;0.606;5;-7.268
Sigala;Wish You Well;205653;2019;124.975;pop, Dance/Electronic;0.895;5;-3.787
Becky G;Shower;206166;2014;119.987;pop, latin;0.529;2;-7.548
Lily Allen;The Fear;207120;2009;134.002;pop;0.847;10;-6.948
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
The White Stripes;Seven Nation Army;231920;2003;123.904;rock, blues;0.469;4;-7.627
The Calling;Wherever You Will Go;208600;2001;112.027;pop;0.719;2;-5.113
P!nk;Don't Let Me Get Me - Radio Edit;210693;2001;98.525;pop;0.85;0;-4.754
The Rasmus;In the Shadows;257920;2003;105.991;metal;0.796;2;-4.481
Lloyd;You;273133;2007;130.159;hip hop, pop, R&B;0.876;5;-6.008
The Weeknd;In The Night;235653;2015;167.939;pop, R&B;0.682;7;-4.94
Rihanna;Stay;240706;2012;111.893;hip hop, pop, R&B;0.31;9;-10.164
Dem Franchize Boyz;Lean Wit It, Rock Wit It;229813;2006;76.035;hip hop, pop;0.62;5;-5.854
50 Cent;Candy Shop;209106;2005;125.173;hip hop, pop;0.574;11;-7.961
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);231866;2005;179.999;hip hop, pop, rock;0.819;1;-3.309
Destiny's Child;Girl;224146;2004;89.036;pop, R&B;0.747;6;-6.019
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);265333;2005;145.171;hip hop, pop, R&B;0.368;8;-10.38
Cher Lloyd;Want U Back;214013;2011;97.954;pop, Dance/Electronic;0.893;9;-2.963
blackbear;do re mi;212027;2017;111.002;hip hop, pop, Dance/Electronic;0.593;8;-6.35
Rae Sremmurd;Powerglide (feat. Juicy J) - From SR3MM;332300;2018;173.948;hip hop, pop;0.831;1;-4.75
Linkin Park;BURN IT DOWN;230253;2012;110.006;rock, metal;0.972;9;-4.45
Fergie;London Bridge;241306;2006;90.951;pop, R&B;0.609;1;-5.894
Shawn Mendes;Mercy;208733;2017;148.127;pop;0.674;4;-4.882
Ginuwine;In Those Jeans;243306;2003;127.683;hip hop, pop, R&B;0.541;1;-5.873
Kaiser Chiefs;I Predict A Riot;233186;2005;158.842;rock;0.979;8;-3.241
Lunay;Soltera - Remix;266086;2019;92.01;pop, latin;0.783;5;-4.271
